trade_id,timestamp,trader_id,desk,instrument,quantity,price,notional,counterparty,venue,status,anomaly_type,is_flagged
TRD-OKVZ-94068701,2026-04-05 15:04:37,T019,FX,EUR/INR,779,91.111,70975.47,CP_002,NDS-OM,Settled,,False
TRD-IJWO-20305061,2026-04-05 15:20:11,T015,Credit,RELIANCE_BOND,404,1017.4478,411048.91,CP_018,MCX,Settled,,False
TRD-HFCC-13491588,2026-04-05 16:01:23,T018,Equities,TCS,521,3937.2586,2051311.73,CP_019,MCX,Settled,,False
TRD-FQBB-58260277,2026-04-06 09:15:02,T016,FX,USD/INR,721,83.0446,59875.16,CP_012,NDS-OM,Pending,,False
TRD-LRNN-28570589,2026-04-06 09:31:54,T011,Credit,HDFC_BOND,1724,1000.4763,1724821.14,CP_006,NDS-OM,Settled,,False
TRD-YVCT-80425083,2026-04-06 09:43:19,T009,Rates,MIBOR,767,6.7794,5199.8,CP_006,NSE,Cancelled,,False
TRD-LLUE-34566174,2026-04-06 12:15:17,T018,Rates,MIBOR,429,6.7399,2891.42,CP_010,BSE,Pending,,False
TRD-CTPM-57455446,2026-04-06 14:05:50,T013,Credit,RELIANCE_BOND,899,1014.8059,912310.5,CP_001,MCX,Settled,,False
TRD-JZPH-29945652,2026-04-06 15:17:33,T003,FX,GBP/INR,3730,105.9135,395057.35,CP_009,MSEI,Cancelled,,False
TRD-DISN-68645816,2026-04-06 16:57:32,T005,Equities,INFY,703,1467.0788,1031356.4,CP_014,NSE,Pending,,False
TRD-MRNQ-17059712,2026-04-07 09:36:18,T016,Credit,SBI_BOND,1231,1001.508,1232856.35,CP_016,NDS-OM,Settled,,False
TRD-HSAY-61935297,2026-04-07 11:56:26,T001,Equities,TCS,561,3583.0385,2010084.6,CP_006,MSEI,Pending,,False
TRD-TMDE-07422913,2026-04-07 12:49:33,T013,Credit,RELIANCE_BOND,747,1006.0315,751505.53,CP_015,NDS-OM,Settled,,False
TRD-OSEB-58627130,2026-04-07 13:06:37,T001,FX,EUR/INR,1092,91.4183,99828.78,CP_010,OTC,Settled,,False
TRD-PCUJ-58013736,2026-04-07 13:21:39,T023,FX,JPY/INR,159,0.5479,87.12,CP_013,MSEI,Settled,,False
TRD-XSYK-03555689,2026-04-07 16:20:11,T013,Commodities,MCX_SILVER,762,73542.368,56039284.42,CP_011,MCX,Settled,,False
TRD-ILME-76984650,2026-04-08 10:42:40,T013,Rates,IN10Y,609,100.1593,60997.01,CP_012,OTC,Settled,,False
TRD-UXVT-88783022,2026-04-08 11:06:25,T012,Commodities,MCX_GOLD,982,66493.6747,65296788.56,CP_011,OTC,Pending,,False
TRD-ODOZ-62770979,2026-04-08 11:30:20,T030,FX,EUR/INR,663,90.8799,60253.37,CP_008,NSE,Settled,,False
TRD-EERC-96419200,2026-04-08 12:24:36,T012,Credit,SBI_BOND,947,1001.4591,948381.77,CP_019,MCX,Cancelled,,False
TRD-JXUK-81773602,2026-04-08 13:18:20,T004,Equities,TCS,549,3656.0397,2007165.8,CP_001,NDS-OM,Settled,,False
TRD-CQKN-44724476,2026-04-08 13:42:05,T006,Equities,TCS,549,3904.9109,2143796.08,CP_008,BSE,Settled,,False
TRD-CKLE-70299228,2026-04-08 13:42:09,T023,Rates,IN2Y,2767,99.0453,274058.35,CP_014,NDS-OM,Settled,,False
TRD-DTNQ-01448808,2026-04-08 14:13:41,T016,Equities,ICICIBANK,401,1041.214,417526.81,CP_013,MSEI,Settled,,False
TRD-YIDF-72570713,2026-04-08 14:35:59,T004,FX,JPY/INR,338,0.5721,193.37,CP_017,NSE,Settled,,False
TRD-WDSC-62837544,2026-04-08 15:32:02,T002,Equities,TCS,3442,4117.4307,14172196.47,CP_002,BSE,Settled,,False
TRD-EAKB-22908953,2026-04-08 16:22:09,T009,Equities,TCS,434,3934.9146,1707752.94,CP_007,MSEI,Settled,,False
TRD-EFQV-21768685,2026-04-09 10:29:26,T029,Credit,RELIANCE_BOND,655,1023.8734,670637.08,CP_019,BSE,Settled,,False
TRD-OVVN-57136984,2026-04-09 12:12:39,T017,FX,EUR/INR,1419,91.8581,130346.64,CP_009,MCX,Settled,,False
TRD-ZROU-03969796,2026-04-09 13:21:19,T019,Equities,HDFCBANK,467,1576.0523,736016.42,CP_019,NSE,Settled,,False
TRD-YFKW-68427684,2026-04-09 13:32:42,T021,Equities,RELIANCE,312,2715.0325,847090.14,CP_020,MCX,Settled,,False
TRD-GYOD-21339853,2026-04-09 16:00:22,T010,FX,JPY/INR,1234,0.5637,695.61,CP_013,NDS-OM,Settled,,False
TRD-VYLL-65610363,2026-04-09 16:07:52,T003,FX,GBP/INR,1834,107.8215,197744.63,CP_013,NDS-OM,Settled,,False
TRD-RTED-18353323,2026-04-09 16:28:43,T007,Rates,MIBOR,582,6.9202,4027.56,CP_017,NDS-OM,Settled,,False
TRD-RNAV-33255813,2026-04-10 11:23:08,T024,Rates,IN91D,648,99.9999,64799.94,CP_009,MSEI,Settled,,False
TRD-UECV-31481699,2026-04-10 13:02:48,T021,Commodities,MCX_COPPER,627,810.582,508234.91,CP_007,MCX,Settled,,False
TRD-IYIY-69605935,2026-04-10 13:41:05,T008,Equities,TCS,393,3934.4681,1546245.96,CP_018,OTC,Settled,,False
TRD-AAGY-85111520,2026-04-10 16:00:21,T030,Equities,RELIANCE,1103,2691.54,2968768.62,CP_020,BSE,Settled,,False
TRD-AFQQ-67843422,2026-04-11 09:14:52,T002,Equities,INFY,367,1509.9086,554136.46,CP_011,NDS-OM,Settled,,False
TRD-AKWA-61089189,2026-04-11 13:21:29,T026,Equities,INFY,5069,1535.2518,7782191.37,CP_007,OTC,Settled,,False
TRD-OSAI-80585794,2026-04-11 13:24:26,T025,Rates,IN91D,1674,99.9062,167242.98,CP_011,MSEI,Settled,,False
TRD-RWPG-09462894,2026-04-11 15:31:38,T015,Rates,MIBOR,467,7.4809,3493.58,CP_014,MCX,Settled,,False
TRD-RUUE-23628119,2026-04-12 10:08:17,T020,Rates,IN2Y,1152,100.1456,115367.73,CP_019,OTC,Settled,,False
TRD-LDPV-11343591,2026-04-12 10:23:45,T022,FX,GBP/INR,740,104.1528,77073.07,CP_013,OTC,Settled,,False
TRD-VLOL-28815767,2026-04-12 11:00:22,T026,FX,USD/INR,4352,84.213,366494.98,CP_008,OTC,Settled,,False
TRD-TRFS-73758222,2026-04-12 11:10:20,T028,Equities,ICICIBANK,461,970.3565,447334.35,CP_017,NDS-OM,Settled,,False
TRD-LGWP-67996232,2026-04-12 11:21:47,T003,FX,JPY/INR,216,0.5391,116.45,CP_008,MCX,Cancelled,,False
TRD-CTXE-04503287,2026-04-12 12:02:36,T023,Credit,SBI_BOND,613,1005.0683,616106.87,CP_004,BSE,Settled,,False
TRD-AGCO-85733977,2026-04-12 12:44:45,T016,Rates,IN91D,249,99.6845,24821.44,CP_011,NDS-OM,Settled,,False
TRD-DYUK-33065513,2026-04-12 13:41:03,T030,Rates,IN91D,347,99.7326,34607.21,CP_003,MSEI,Settled,,False
TRD-CUSH-77485597,2026-04-12 13:49:23,T006,Credit,RELIANCE_BOND,250,1000.231,250057.75,CP_020,OTC,Cancelled,,False
TRD-RJHU-01700919,2026-04-12 15:25:01,T024,Equities,TCS,1315,3666.7993,4821841.08,CP_020,BSE,Settled,,False
TRD-EPWV-04427605,2026-04-12 15:28:44,T020,Equities,RELIANCE,5928,2935.849,17403712.87,CP_016,MCX,Settled,,False
TRD-SYPL-30070352,2026-04-12 15:52:31,T004,Rates,IN10Y,1037,101.1399,104882.08,CP_014,MCX,Settled,,False
TRD-NBZG-59214788,2026-04-13 12:09:45,T011,Equities,TCS,2020,4020.4221,8121252.64,CP_008,MSEI,Settled,,False
TRD-JRYV-05176805,2026-04-13 14:38:16,T026,FX,GBP/INR,417,104.0926,43406.61,CP_002,MSEI,Settled,,False
TRD-CRHG-53042954,2026-04-13 16:33:22,T025,Rates,IN10Y,231,99.9439,23087.04,CP_019,BSE,Cancelled,,False
TRD-MXDK-86213212,2026-04-14 10:19:44,T014,Credit,RELIANCE_BOND,163,1011.5614,164884.51,CP_008,NSE,Settled,,False
TRD-XTDL-02224017,2026-04-14 10:24:32,,Rates,IN2Y,849,100.6461,85448.54,CP_010,BSE,Settled,missing_field,True
TRD-GELF-22931067,2026-04-14 13:55:02,T015,FX,EUR/INR,749,91.6249,68627.05,CP_009,MCX,Settled,,False
TRD-COZJ-11100666,2026-04-14 14:24:36,T002,Equities,INFY,2237,1643.8703,3677337.86,CP_020,BSE,Settled,,False
TRD-PJSB-77631630,2026-04-14 16:34:30,T012,Credit,SBI_BOND,669,1007.9993,674351.53,CP_011,OTC,Settled,,False
TRD-SSDJ-99776224,2026-04-15 09:42:12,T013,Equities,TCS,1680,4097.1685,6883243.08,CP_011,MCX,Settled,,False
TRD-BKXS-61120671,2026-04-15 10:57:36,T022,Equities,INFY,237,1441.8068,341708.21,CP_004,BSE,Settled,,False
TRD-UEQI-24756481,2026-04-15 11:12:18,T007,Commodities,MCX_COPPER,403,696.2217,280577.35,CP_002,OTC,Settled,,False
TRD-XIOT-05398640,2026-04-15 11:19:00,T013,Credit,SBI_BOND,180,1008.879,181598.22,CP_011,OTC,Settled,,False
TRD-WTQE-78434873,2026-04-15 11:58:26,T020,Rates,IN2Y,802,100.8057,80846.17,CP_015,BSE,Settled,,False
TRD-ONGK-48879502,2026-04-15 11:59:47,T028,Credit,HDFC_BOND,284,990.6021,281331.0,CP_010,NSE,Settled,,False
TRD-ESLL-75256850,2026-04-15 13:01:32,T027,Commodities,MCX_CRUDE,535,6110.0118,3268856.31,CP_014,BSE,Settled,,False
TRD-CMZF-82814533,2026-04-15 14:49:10,T003,Rates,IN2Y,1744,99.733,173934.35,CP_017,MSEI,Settled,,False
TRD-NPSB-99005998,2026-04-15 16:11:39,T013,Commodities,MCX_COPPER,765,694.3514,531178.82,CP_012,OTC,Settled,minor_deviation,True
TRD-QIHV-92379698,2026-04-15 16:14:17,T014,Commodities,MCX_SILVER,2047,76148.9639,155876929.1,CP_016,NSE,Settled,,False
TRD-TMOF-44278450,2026-04-16 09:19:18,T007,Credit,RELIANCE_BOND,955,998.596,953659.18,CP_014,OTC,Settled,,False
TRD-BQKM-98217436,2026-04-16 10:00:29,T020,Credit,HDFC_BOND,289,1016.6164,293802.14,CP_019,NSE,Settled,,False
TRD-WKIV-95197713,2026-04-16 12:53:54,T011,Rates,IN10Y,717,101.1547,72527.92,CP_005,NSE,Settled,,False
TRD-FKDO-28393849,2026-04-17 10:00:32,T022,Credit,RELIANCE_BOND,1408,6911.8247,9731849.18,CP_012,OTC,Settled,price_outlier,True
TRD-VPZL-92113013,2026-04-17 11:30:04,T008,FX,JPY/INR,599,0.5307,317.89,CP_013,NSE,Settled,,False
TRD-GWUN-62632237,2026-04-17 11:31:32,T015,Rates,IN2Y,661,100.1478,66197.7,CP_016,MCX,Settled,,False
TRD-LFMQ-77822146,2026-04-17 11:52:43,T023,Rates,MIBOR,270,6.792,1833.84,CP_010,OTC,Settled,,False
TRD-ZYNT-42231308,2026-04-17 12:48:15,T022,Credit,RELIANCE_BOND,680,1005.6829,683864.37,CP_020,NSE,Settled,,False
TRD-VDHW-87600066,2026-04-17 12:50:30,T026,Commodities,MCX_COPPER,296,692.389,204947.14,CP_014,BSE,Settled,,False
TRD-FPXG-00265018,2026-04-17 13:08:59,T012,Equities,ICICIBANK,626,1092.649,683998.27,CP_003,BSE,Settled,,False
TRD-TARU-77406978,2026-04-17 15:11:43,T019,Commodities,MCX_COPPER,1804,754.6846,1361451.02,CP_013,NSE,Settled,,False
TRD-DYHJ-82514988,2026-04-18 10:49:51,T008,FX,JPY/INR,606,0.5326,322.76,CP_007,MSEI,Settled,,False
TRD-BQYQ-64788937,2026-04-18 12:10:28,T003,Credit,RELIANCE_BOND,925,996.9607,922188.65,CP_002,MCX,Settled,,False
TRD-NIDM-19546468,2026-04-18 13:42:26,T011,FX,GBP/INR,79,107.6811,8506.81,CP_013,MSEI,Settled,,False
TRD-TPPL-98992819,2026-04-18 15:44:25,T003,Commodities,MCX_COPPER,1218,762.6413,928897.1,CP_018,OTC,Settled,,False
TRD-KAYT-37469757,2026-04-18 15:52:27,T017,Equities,TCS,330,4031.337,1330341.21,CP_011,NSE,Settled,,False
TRD-IPCK-69880026,2026-04-19 09:37:35,T018,Rates,IN2Y,500,100.7418,50370.9,CP_011,MSEI,Settled,,False
TRD-WAWE-69106996,2026-04-19 10:37:46,T013,FX,EUR/INR,814,90.3901,73577.54,CP_012,NDS-OM,Settled,,False
TRD-YDQX-51247198,2026-04-19 11:44:19,T029,FX,JPY/INR,508,0.5513,280.06,CP_001,NSE,Settled,,False
TRD-GGTH-25968020,2026-04-19 13:30:52,T001,Commodities,MCX_COPPER,425,692.4184,294277.82,CP_012,MCX,Settled,,False
TRD-YMGM-80605958,2026-04-19 14:38:39,T029,Commodities,MCX_GOLD,1331,66143.7825,88037374.51,CP_016,MSEI,Settled,,False
TRD-INRH-27325726,2026-04-20 02:12:56,T027,Commodities,MCX_GOLD,411,64423.6974,26478139.63,CP_007,NSE,Settled,off_hours,True
TRD-XIWI-72327000,2026-04-20 09:07:04,T029,Commodities,MCX_COPPER,1531,751.1999,1150087.05,CP_005,OTC,Settled,,False
TRD-NCOG-36725487,2026-04-20 10:31:45,T030,Credit,RELIANCE_BOND,1852,1014.2986,1878481.01,CP_015,NSE,Settled,,False
TRD-RDSD-97325837,2026-04-20 11:50:43,T014,FX,EUR/INR,440,89.5968,39422.59,CP_020,NSE,Settled,,False
TRD-PUXE-05604158,2026-04-20 11:53:42,T029,Rates,IN91D,164,636.6623,104412.62,CP_018,BSE,Settled,price_outlier,True
TRD-VZYN-47356187,2026-04-20 16:07:17,T015,Rates,IN2Y,657,99.3677,65284.58,CP_008,BSE,Settled,,False
TRD-FAJH-48417828,2026-04-20 16:28:15,T028,Rates,IN2Y,236,100.229,23654.04,CP_012,NSE,Cancelled,,False
TRD-DGLJ-16852232,2026-04-21 09:21:49,T005,Rates,IN10Y,213,98.6257,21007.27,CP_009,BSE,Settled,,False
TRD-BUSF-31221383,2026-04-21 11:26:44,T007,Rates,MIBOR,687,7.5392,5179.43,CP_014,OTC,Settled,,False
TRD-RUHO-87776863,2026-04-21 14:26:36,T029,Equities,TCS,41,3946.607,161810.89,CP_015,BSE,Settled,duplicate_id,True
TRD-RUHO-87776863,2026-04-21 14:28:18,T029,Equities,TCS,45,3946.607,177597.32,CP_015,BSE,Settled,duplicate_id,True
TRD-JVEH-26415527,2026-04-21 16:14:54,T004,Equities,TCS,1058,4042.7847,4277266.21,CP_012,OTC,Settled,,False
TRD-USPT-62424150,2026-04-22 09:40:38,T026,Credit,SBI_BOND,693,1009.8154,699802.07,CP_008,MSEI,Settled,,False
TRD-OPLM-11300028,2026-04-22 12:07:08,T028,Rates,MIBOR,222,7.7403,1718.35,CP_003,NDS-OM,Settled,,False
TRD-DPQT-65062559,2026-04-22 12:23:43,T019,Rates,MIBOR,1232,7.2584,8942.35,CP_015,NDS-OM,Settled,,False
TRD-NBIS-32164269,2026-04-22 14:51:34,T014,FX,USD/INR,1965,84.0365,165131.72,CP_019,BSE,Settled,volume_spike,True
TRD-CKDV-59439906,2026-04-22 15:21:45,T016,FX,USD/INR,305,83.5234,25474.64,CP_004,MSEI,Settled,,False
TRD-PVDT-78206740,2026-04-22 15:36:25,T023,FX,GBP/INR,407,108.2753,44068.05,CP_014,MCX,Settled,,False
TRD-SNJE-77868070,2026-04-22 16:35:32,T004,Credit,RELIANCE_BOND,583,1024.9062,597520.31,CP_019,NSE,Settled,,False
TRD-NWPE-87837842,2026-04-23 09:53:07,T017,Equities,HDFCBANK,759,1521.0449,1154473.08,CP_005,MCX,Settled,,False
TRD-CZMQ-52112719,2026-04-23 10:30:01,T024,Credit,HDFC_BOND,2605,991.2233,2582136.7,CP_018,NSE,Cancelled,,False
TRD-KYFQ-50776456,2026-04-23 10:53:31,T020,Equities,HDFCBANK,2973,1429.3502,4249458.14,CP_014,MCX,Settled,,False
TRD-HWNO-22835511,2026-04-23 11:49:41,T024,Credit,SBI_BOND,1150,1014.6476,1166844.74,CP_014,MCX,Cancelled,,False
TRD-IQJB-62310621,2026-04-23 13:15:46,T021,FX,GBP/INR,1449,106.8852,154876.65,CP_016,OTC,Settled,,False
TRD-RCZB-50627784,2026-04-23 13:28:56,T005,Equities,INFY,508,1548.6474,786712.88,CP_002,OTC,Settled,,False
TRD-TXVH-76060836,2026-04-23 13:56:38,T023,Rates,IN91D,1090,99.926,108919.34,CP_009,OTC,Settled,,False
TRD-DTPS-56922390,2026-04-23 15:32:23,T001,Commodities,MCX_GOLD,130,72102.9099,9373378.29,CP_012,MCX,Settled,,False
TRD-MCUC-33584080,2026-04-23 15:41:05,T023,Rates,IN2Y,681,99.5549,67796.89,CP_004,NSE,Settled,,False
TRD-VHXY-70540098,2026-04-23 16:22:48,,Equities,INFY,1178,1651.104,1945000.51,CP_006,NDS-OM,Settled,missing_field,True
TRD-WGOD-69144424,2026-04-24 12:03:42,T029,FX,EUR/INR,301,92.1332,27732.09,CP_017,BSE,Settled,,False
TRD-OOPT-81149532,2026-04-24 12:06:29,T004,Credit,RELIANCE_BOND,1081,995.9355,1076606.28,CP_005,NSE,Settled,,False
TRD-RAKQ-70548449,2026-04-25 13:19:16,T008,Rates,MIBOR,764,6.6319,5066.77,CP_004,MSEI,Settled,,False
TRD-TVLU-30561527,2026-04-25 13:52:00,T024,FX,JPY/INR,430,0.5738,246.73,CP_007,OTC,Settled,,False
TRD-JMOB-91089229,2026-04-25 14:55:12,T023,Credit,HDFC_BOND,800,1011.059,808847.2,CP_008,OTC,Settled,,False
TRD-TNEZ-57160499,2026-04-25 15:10:03,T004,Equities,ICICIBANK,834,1073.1726,895025.95,CP_011,BSE,Cancelled,,False
TRD-BHUN-92042639,2026-04-25 15:42:24,T022,Equities,TCS,876,3577.6862,3134053.11,CP_006,OTC,Settled,,False
TRD-QFTX-78175454,2026-04-25 16:05:57,T017,Equities,ICICIBANK,403,982.1363,395800.93,CP_015,NSE,Settled,,False
TRD-XZFI-47593108,2026-04-26 10:05:17,T005,Rates,IN2Y,450,101.2347,45555.62,CP_013,MSEI,Settled,,False
TRD-AAQL-52918773,2026-04-26 10:49:41,T002,Rates,IN2Y,1337,99.0415,132418.49,CP_001,BSE,Settled,,False
TRD-LJZG-81712496,2026-04-26 11:46:28,T002,Equities,TCS,662,3774.9285,2499002.67,CP_014,MCX,Settled,,False
TRD-KVAN-30173271,2026-04-26 13:56:28,T008,Equities,RELIANCE,210,2374.4822,498641.26,CP_015,OTC,Settled,,False
TRD-HTFC-60985416,2026-04-26 14:23:06,T003,Equities,HDFCBANK,918,1493.5166,1371048.24,CP_001,MCX,Settled,,False
TRD-YQBO-02540236,2026-04-26 15:50:45,T012,Commodities,MCX_GOLD,278,72392.4064,20125088.98,CP_016,OTC,Settled,,False
TRD-HJTQ-04890348,2026-04-27 11:46:00,T023,Rates,IN2Y,1641,101.3607,166332.91,CP_019,NDS-OM,Settled,,False
TRD-YQNV-73959898,2026-04-27 11:46:34,T016,Rates,IN2Y,413,99.3494,41031.3,CP_006,OTC,Cancelled,,False
TRD-TCQK-86484043,2026-04-27 13:20:47,T014,Equities,RELIANCE,2512,2438.6355,6125852.38,CP_006,BSE,Settled,,False
TRD-BJMJ-24868430,2026-04-27 13:38:34,T006,Commodities,MCX_CRUDE,5197,5562.1344,28906412.48,CP_011,MSEI,Settled,,False
TRD-HNIL-39423380,2026-04-27 13:48:47,T026,Equities,HDFCBANK,1838,1416.891,2604245.66,CP_015,BSE,Settled,,False
TRD-OKBN-66929414,2026-04-27 15:04:09,T024,Equities,TCS,159,4192.4041,666592.25,CP_001,NSE,Settled,,False
TRD-DJGV-36950385,2026-04-27 15:15:55,T029,Rates,MIBOR,1257,6.8357,8592.47,CP_006,MCX,Pending,,False
TRD-NBOP-60767801,2026-04-27 15:35:33,T005,Commodities,MCX_COPPER,824,747.3596,615824.31,CP_013,BSE,Settled,,False
TRD-QWHZ-24177484,2026-04-28 09:15:56,T019,Rates,IN2Y,553,99.086,54794.56,CP_003,NSE,Settled,,False
TRD-YCOP-05937257,2026-04-28 14:18:29,T021,Commodities,MCX_GOLD,394,66257.4656,26105441.45,CP_018,OTC,Settled,,False
TRD-QGDT-64078538,2026-04-28 14:27:07,T010,Commodities,MCX_GOLD,671,63340.6103,42501549.51,CP_019,NDS-OM,Settled,,False
TRD-XKEY-65698372,2026-04-28 15:29:21,T006,Equities,HDFCBANK,250,1632.9239,408230.97,CP_012,MCX,Settled,,False
TRD-ZZWX-29499883,2026-04-28 16:09:38,T029,Credit,RELIANCE_BOND,515,1000.1696,515087.34,CP_017,BSE,Settled,,False
TRD-HRDZ-78777057,2026-04-29 11:05:39,T028,Equities,TCS,240,3468.278,832386.72,CP_013,OTC,Settled,,False
TRD-INDG-12055846,2026-04-29 12:23:20,T014,Credit,HDFC_BOND,761,1000.466,761354.63,CP_002,OTC,Settled,,False
TRD-CITI-07677094,2026-04-29 12:35:20,T025,Equities,HDFCBANK,372,1628.0684,605641.44,CP_010,NDS-OM,Settled,,False
TRD-XLSL-52769192,2026-04-29 12:45:28,T015,Equities,RELIANCE,782,2957.488,2312755.62,CP_017,OTC,Settled,,False
TRD-PLFE-23595399,2026-04-29 12:52:34,T009,Credit,SBI_BOND,1314,995.7337,1308394.08,CP_018,MSEI,Settled,,False
TRD-QWLX-61455101,2026-04-29 13:14:53,T009,Credit,HDFC_BOND,9211,1019.5225,9390821.75,CP_019,NSE,Settled,volume_spike,True
TRD-QRVQ-96693363,2026-04-29 13:44:59,T029,FX,JPY/INR,259,0.544,140.9,CP_012,NDS-OM,Cancelled,,False
TRD-VUPX-15194213,2026-04-29 16:04:21,T009,Rates,IN10Y,497,705.2383,350503.44,CP_011,MCX,Settled,price_outlier,True
TRD-KTPH-16645546,2026-04-30 09:31:56,T021,Commodities,MCX_COPPER,780,806.5822,629134.12,CP_018,MCX,Settled,,False
TRD-FLDN-39377998,2026-04-30 09:38:20,T016,Rates,IN2Y,584,100.2379,58538.93,CP_001,NSE,Pending,,False
TRD-IQZV-31404973,2026-04-30 10:12:57,T021,FX,USD/INR,172,83.4927,14360.74,CP_015,BSE,Settled,,False
TRD-WJDF-10670209,2026-04-30 10:18:27,T006,Rates,IN91D,1419,99.2977,140903.44,CP_015,NSE,Cancelled,,False
TRD-CAWR-52291867,2026-04-30 10:24:57,T019,Rates,MIBOR,541,6.9134,3740.15,CP_007,MCX,Settled,,False
TRD-DQMR-11844901,2026-04-30 14:42:22,T023,Credit,SBI_BOND,1020,1008.434,1028602.68,CP_003,OTC,Settled,,False
TRD-SCXC-92632101,2026-04-30 16:54:23,T003,Rates,IN10Y,590,100.6304,59371.94,CP_018,MSEI,Settled,,False
TRD-TUZC-89937157,2026-05-01 09:45:13,T007,Credit,HDFC_BOND,103,1017.5957,104812.36,CP_009,MSEI,Settled,,False
TRD-RZUM-69235441,2026-05-01 10:33:56,T001,Equities,HDFCBANK,2729,1667.8015,4551430.29,CP_012,MCX,Settled,,False
TRD-QEYD-42307302,2026-05-01 11:00:13,T017,Equities,RELIANCE,1027,2431.4126,2497060.74,CP_015,MCX,Settled,,False
TRD-QDEU-09076446,2026-05-01 14:05:37,T022,Commodities,MCX_SILVER,390,84804.0149,33073565.81,CP_005,MCX,Settled,,False
TRD-YGBN-41890989,2026-05-01 14:32:04,T010,Rates,IN10Y,1265,98.9683,125194.9,CP_015,NDS-OM,Settled,,False
TRD-TREG-82910807,2026-05-01 14:48:57,T015,Credit,RELIANCE_BOND,470,1010.0804,474737.79,CP_020,MSEI,Settled,,False
TRD-CSNI-58057613,2026-05-01 15:08:02,T010,Rates,IN2Y,433,101.2689,43849.43,CP_012,NSE,Settled,,False
TRD-PLIX-44432250,2026-05-02 09:37:30,T006,Commodities,MCX_SILVER,570,76099.7781,43376873.52,CP_017,MSEI,Settled,,False
TRD-YQUX-53761513,2026-05-02 11:38:09,T025,Rates,IN2Y,380,100.9789,38371.98,CP_003,BSE,Cancelled,,False
TRD-EPMW-61469576,2026-05-02 11:51:08,T003,Credit,RELIANCE_BOND,1204,1015.5419,1222712.45,CP_015,NSE,Settled,,False
TRD-GUWP-85698176,2026-05-02 13:15:14,T005,FX,USD/INR,273,83.2491,22727.0,CP_004,MSEI,Settled,,False
TRD-SMTF-95832475,2026-05-02 13:23:32,T029,Rates,IN91D,4661,99.6118,464290.6,CP_016,NDS-OM,Settled,,False
TRD-QIQK-58967065,2026-05-02 13:49:34,T020,Credit,RELIANCE_BOND,2265,1017.5815,2304822.1,,OTC,Cancelled,missing_field,True
